,mouse_id,region,treatment,sex,time,density
109,1,FRP,morphine,M,4h,719.8041639798085
110,2,FRP,saline,M,1h,2752.9172091724204
111,3,FRP,saline,M,4h,427.15910444450833
112,4,FRP,morphine,F,4h,47.23393943376775
113,5,FRP,saline,F,4h,6.160948621795794
114,6,FRP,morphine,M,1h,118.08484858441938
115,7,FRP,morphine,M,4h,69.82408438035233
116,8,FRP,saline,M,4h,10.268247702992989
117,9,FRP,morphine,F,4h,45.18028989316915
118,10,FRP,saline,F,1h,46.20711466346845
119,11,FRP,saline,M,1h,56.47536236646144
120,12,FRP,morphine,M,1h,20.536495405985978
121,13,FRP,saline,M,4h,12.321897243591588
122,14,FRP,morphine,M,1h,66.74361006945443
123,15,FRP,morphine,F,4h,34.912042190176166
124,16,FRP,saline,F,4h,0.0
125,17,FRP,morphine,M,1h,25.670619257482475
126,18,FRP,saline,M,1h,19.50967063568668
127,19,FRP,morphine,F,1h,108.84342565172568
128,20,FRP,morphine,F,1h,62.636310988257236
129,21,FRP,morphine,F,1h,31.831567879278268
130,22,FRP,morphine,M,4h,979.5908308655312
131,23,FRP,morphine,M,4h,72.90455869125023
132,24,FRP,saline,F,1h,632.5240585043681
133,25,FRP,saline,F,4h,50.31441374466565
134,26,FRP,saline,F,4h,14.375546784190185
135,0,FRP1,morphine,M,1h,810.8529549352878
136,1,FRP1,morphine,M,4h,1251.3644160299393
137,2,FRP1,saline,M,1h,2518.3221581163266
138,3,FRP1,saline,M,4h,771.8696397941682
139,4,FRP1,morphine,F,4h,19.491657570559802
140,5,FRP1,saline,F,4h,3.8983315141119603
141,6,FRP1,morphine,M,1h,3.8983315141119603
142,7,FRP1,morphine,M,4h,23.389989084671765
143,8,FRP1,saline,M,4h,15.593326056447841
144,9,FRP1,morphine,F,4h,23.389989084671765
145,10,FRP1,saline,F,1h,58.474972711679406
146,11,FRP1,saline,M,1h,35.084983627007645
147,12,FRP1,morphine,M,1h,7.796663028223921
148,13,FRP1,saline,M,4h,15.593326056447841
149,14,FRP1,morphine,M,1h,0.0
150,15,FRP1,morphine,F,4h,7.796663028223921
151,16,FRP1,saline,F,4h,0.0
152,17,FRP1,morphine,M,1h,7.796663028223921
153,18,FRP1,saline,M,1h,35.084983627007645
154,19,FRP1,morphine,F,1h,27.288320598783724
155,20,FRP1,morphine,F,1h,7.796663028223921
156,21,FRP1,morphine,F,1h,3.8983315141119603
157,22,FRP1,morphine,M,4h,584.7497271167941
158,23,FRP1,morphine,M,4h,0.0
159,24,FRP1,saline,F,1h,93.55995633868706
160,25,FRP1,saline,F,4h,15.593326056447841
161,26,FRP1,saline,F,4h,15.593326056447841
162,0,FRP2/3,morphine,M,1h,1504.6773971660477
163,1,FRP2/3,morphine,M,4h,997.3861604072088
164,2,FRP2/3,saline,M,1h,5739.269500619068
165,3,FRP2/3,saline,M,4h,464.30045398266617
166,4,FRP2/3,morphine,F,4h,21.495391388086396
167,5,FRP2/3,saline,F,4h,8.598156555234558
168,6,FRP2/3,morphine,M,1h,4.299078277617279
169,7,FRP2/3,morphine,M,4h,193.45852249277758
170,8,FRP2/3,saline,M,4h,0.0
171,9,FRP2/3,morphine,F,4h,8.598156555234558
172,10,FRP2/3,saline,F,1h,4.299078277617279
173,11,FRP2/3,saline,M,1h,17.196313110469116
174,12,FRP2/3,morphine,M,1h,4.299078277617279
175,13,FRP2/3,saline,M,4h,25.794469665703676
176,14,FRP2/3,morphine,M,1h,21.495391388086396
177,15,FRP2/3,morphine,F,4h,68.78525244187647
178,16,FRP2/3,saline,F,4h,0.0
179,17,FRP2/3,morphine,M,1h,4.299078277617279
180,18,FRP2/3,saline,M,1h,21.495391388086396
181,19,FRP2/3,morphine,F,1h,30.093547943320953
182,20,FRP2/3,morphine,F,1h,17.196313110469116
183,21,FRP2/3,morphine,F,1h,25.794469665703676
184,22,FRP2/3,morphine,M,4h,1564.8644930526896
185,23,FRP2/3,morphine,M,4h,0.0
186,24,FRP2/3,saline,F,1h,756.6377768606411
187,25,FRP2/3,saline,F,4h,51.58893933140735
188,26,FRP2/3,saline,F,4h,21.495391388086396
189,0,FRP5,morphine,M,1h,1757.3415432311403
190,1,FRP5,morphine,M,4h,387.5301412332071
191,2,FRP5,saline,M,1h,1816.547537030658
192,3,FRP5,saline,M,4h,282.57406131588016
193,4,FRP5,morphine,F,4h,75.35308301756804
194,5,FRP5,saline,F,4h,5.3823630726834315
195,6,FRP5,morphine,M,1h,142.63262142611094
196,7,FRP5,morphine,M,4h,32.29417843610059
197,8,FRP5,saline,M,4h,16.147089218050294
198,9,FRP5,morphine,F,4h,69.9707199448846
199,10,FRP5,saline,F,1h,34.9853599724423
200,11,FRP5,saline,M,1h,67.27953840854289
201,12,FRP5,morphine,M,1h,29.60299689975887
202,13,FRP5,saline,M,4h,5.3823630726834315
203,14,FRP5,morphine,M,1h,78.04426455390976
204,15,FRP5,morphine,F,4h,26.91181536341716
205,16,FRP5,saline,F,4h,0.0
206,17,FRP5,morphine,M,1h,10.764726145366863
207,18,FRP5,saline,M,1h,13.45590768170858
208,19,FRP5,morphine,F,1h,196.45625215294524
209,20,FRP5,morphine,F,1h,118.41198759903548
210,21,FRP5,morphine,F,1h,43.05890458146745
211,22,FRP5,morphine,M,4h,993.0459869100931
212,23,FRP5,morphine,M,4h,24.220633827075442
213,24,FRP5,saline,F,1h,974.2077161557011
214,25,FRP5,saline,F,4h,64.58835687220117
215,26,FRP5,saline,F,4h,10.764726145366863
216,0,FRP6a,morphine,M,1h,418.8127105202189
217,1,FRP6a,morphine,M,4h,35.64363493789097
218,2,FRP6a,saline,M,1h,222.77271836181856
219,3,FRP6a,saline,M,4h,44.554543672363714
220,4,FRP6a,morphine,F,4h,71.28726987578194
221,5,FRP6a,saline,F,4h,8.910908734472743
222,6,FRP6a,morphine,M,1h,534.6545240683646
223,7,FRP6a,morphine,M,4h,44.554543672363714
224,8,FRP6a,saline,M,4h,0.0
225,9,FRP6a,morphine,F,4h,80.19817861025469
226,10,FRP6a,saline,F,1h,142.5745397515639
227,11,FRP6a,saline,M,1h,151.48544848603663
228,12,FRP6a,morphine,M,1h,53.465452406836455
229,13,FRP6a,saline,M,4h,0.0
230,14,FRP6a,morphine,M,1h,276.23817076865504
231,15,FRP6a,morphine,F,4h,53.465452406836455
232,16,FRP6a,saline,F,4h,0.0
233,17,FRP6a,morphine,M,1h,151.48544848603663
234,18,FRP6a,saline,M,1h,0.0
235,19,FRP6a,morphine,F,1h,169.3072659549821
236,20,FRP6a,morphine,F,1h,98.01999607920017
237,21,FRP6a,morphine,F,1h,71.28726987578194
238,22,FRP6a,morphine,M,4h,632.6745201475647
239,23,FRP6a,morphine,M,4h,534.6545240683646
240,24,FRP6a,saline,F,1h,481.1890716615281
241,25,FRP6a,saline,F,4h,80.19817861025469
242,26,FRP6a,saline,F,4h,8.910908734472743
243,0,FRP6b,morphine,M,1h,0.0
244,1,FRP6b,morphine,M,4h,0.0
245,2,FRP6b,saline,M,1h,0.0
246,3,FRP6b,saline,M,4h,0.0
247,4,FRP6b,morphine,F,4h,0.0
248,5,FRP6b,saline,F,4h,0.0
249,6,FRP6b,morphine,M,1h,0.0
250,7,FRP6b,morphine,M,4h,0.0
251,8,FRP6b,saline,M,4h,0.0
252,9,FRP6b,morphine,F,4h,1061.571125265393
253,10,FRP6b,saline,F,1h,0.0
254,11,FRP6b,saline,M,1h,0.0
255,12,FRP6b,morphine,M,1h,0.0
256,13,FRP6b,saline,M,4h,0.0
257,14,FRP6b,morphine,M,1h,0.0
258,15,FRP6b,morphine,F,4h,0.0
259,16,FRP6b,saline,F,4h,0.0
260,17,FRP6b,morphine,M,1h,1061.571125265393
261,18,FRP6b,saline,M,1h,0.0
262,19,FRP6b,morphine,F,1h,0.0
263,20,FRP6b,morphine,F,1h,0.0
264,21,FRP6b,morphine,F,1h,0.0
265,22,FRP6b,morphine,M,4h,0.0
266,23,FRP6b,morphine,M,4h,2123.142250530786
267,24,FRP6b,saline,F,1h,0.0
268,25,FRP6b,saline,F,4h,0.0
269,26,FRP6b,saline,F,4h,0.0
270,0,MO,morphine,M,1h,772.3812023723821
271,1,MO,morphine,M,4h,476.63915978012926
272,2,MO,saline,M,1h,1138.9197427833585
273,3,MO,saline,M,4h,312.59250885528814
274,4,MO,morphine,F,4h,156.80749430212936
275,5,MO,saline,F,4h,27.034364562782343
276,6,MO,morphine,M,1h,180.56992366820583
277,7,MO,morphine,M,4h,43.148645406558806
278,8,MO,saline,M,4h,56.84987404276469
279,9,MO,morphine,F,4h,87.76966165163526
280,10,MO,saline,F,1h,88.99663735039996
281,11,MO,saline,M,1h,46.911370882770576
282,12,MO,morphine,M,1h,58.36314407124116
283,13,MO,saline,M,4h,4.089918995882352
284,14,MO,morphine,M,1h,171.20400916763523
285,15,MO,morphine,F,4h,29.324719200476462
286,16,MO,saline,F,4h,5.93038254402941
287,17,MO,morphine,M,1h,88.05595598134703
288,18,MO,saline,M,1h,14.151119725752936
289,19,MO,morphine,F,1h,71.28728809822938
290,20,MO,morphine,F,1h,96.27669316307056
291,21,MO,morphine,F,1h,26.748070233070578
